ball.x, ball.y, ball.vx, ball.vy, player.y
298.0, 238.0, -1, -1, 240.0
296.0, 236.0, -1, -1, 240.0
294.0, 234.0, -1, -1, 240.0
292.0, 232.0, -1, -1, 240.0
290.0, 230.0, -1, -1, 240.0
288.0, 228.0, -1, -1, 240.0
286.0, 226.0, -1, -1, 240.0
284.0, 224.0, -1, -1, 240.0
282.0, 222.0, -1, -1, 240.0
280.0, 220.0, -1, -1, 240.0
278.0, 218.0, -1, -1, 240.0
276.0, 216.0, -1, -1, 240.0
274.0, 214.0, -1, -1, 240.0
272.0, 212.0, -1, -1, 240.0
270.0, 210.0, -1, -1, 240.0
268.0, 208.0, -1, -1, 240.0
266.0, 206.0, -1, -1, 240.0
264.0, 204.0, -1, -1, 240.0
262.0, 202.0, -1, -1, 240.0
260.0, 200.0, -1, -1, 240.0
258.0, 198.0, -1, -1, 240.0
256.0, 196.0, -1, -1, 240.0
254.0, 194.0, -1, -1, 240.0
252.0, 192.0, -1, -1, 240.0
250.0, 190.0, -1, -1, 240.0
248.0, 188.0, -1, -1, 240.0
246.0, 186.0, -1, -1, 240.0
244.0, 184.0, -1, -1, 240.0
242.0, 182.0, -1, -1, 240.0
240.0, 180.0, -1, -1, 240.0
238.0, 178.0, -1, -1, 240.0
236.0, 176.0, -1, -1, 240.0
234.0, 174.0, -1, -1, 240.0
232.0, 172.0, -1, -1, 240.0
230.0, 170.0, -1, -1, 240.0
228.0, 168.0, -1, -1, 236.0
226.0, 166.0, -1, -1, 232.0
224.0, 164.0, -1, -1, 228.0
222.0, 162.0, -1, -1, 224.0
220.0, 160.0, -1, -1, 220.0
218.0, 158.0, -1, -1, 216.0
216.0, 156.0, -1, -1, 212.0
214.0, 154.0, -1, -1, 208.0
212.0, 152.0, -1, -1, 204.0
210.0, 150.0, -1, -1, 200.0
208.0, 148.0, -1, -1, 196.0
206.0, 146.0, -1, -1, 192.0
204.0, 144.0, -1, -1, 188.0
202.0, 142.0, -1, -1, 184.0
200.0, 140.0, -1, -1, 180.0
198.0, 138.0, -1, -1, 176.0
196.0, 136.0, -1, -1, 172.0
194.0, 134.0, -1, -1, 168.0
192.0, 132.0, -1, -1, 164.0
190.0, 130.0, -1, -1, 160.0
188.0, 128.0, -1, -1, 156.0
186.0, 126.0, -1, -1, 152.0
184.0, 124.0, -1, -1, 148.0
182.0, 122.0, -1, -1, 144.0
180.0, 120.0, -1, -1, 144.0
178.0, 118.0, -1, -1, 144.0
176.0, 116.0, -1, -1, 144.0
174.0, 114.0, -1, -1, 144.0
172.0, 112.0, -1, -1, 144.0
170.0, 110.0, -1, -1, 144.0
168.0, 108.0, -1, -1, 144.0
166.0, 106.0, -1, -1, 144.0
164.0, 104.0, -1, -1, 144.0
162.0, 102.0, -1, -1, 144.0
160.0, 100.0, -1, -1, 144.0
158.0, 98.0, -1, -1, 144.0
156.0, 96.0, -1, -1, 144.0
154.0, 94.0, -1, -1, 144.0
152.0, 92.0, -1, -1, 144.0
150.0, 90.0, -1, -1, 144.0
148.0, 88.0, -1, -1, 144.0
146.0, 86.0, -1, -1, 144.0
144.0, 84.0, -1, -1, 144.0
142.0, 82.0, -1, -1, 144.0
140.0, 80.0, -1, -1, 144.0
138.0, 78.0, -1, -1, 144.0
136.0, 76.0, -1, -1, 144.0
134.0, 74.0, -1, -1, 144.0
132.0, 72.0, -1, -1, 144.0
130.0, 70.0, -1, -1, 144.0
128.0, 68.0, -1, -1, 144.0
126.0, 66.0, -1, -1, 144.0
124.0, 64.0, -1, -1, 144.0
122.0, 62.0, -1, -1, 144.0
120.0, 60.0, -1, -1, 144.0
118.0, 58.0, -1, -1, 144.0
116.0, 56.0, -1, -1, 144.0
114.0, 54.0, -1, -1, 144.0
112.0, 52.0, -1, -1, 144.0
110.0, 50.0, -1, -1, 144.0
108.0, 48.0, -1, -1, 144.0
106.0, 46.0, -1, -1, 144.0
104.0, 44.0, -1, -1, 144.0
102.0, 42.0, -1, -1, 144.0
100.0, 40.0, -1, -1, 144.0
98.0, 38.0, -1, -1, 144.0
96.0, 36.0, -1, -1, 144.0
94.0, 34.0, -1, -1, 144.0
92.0, 32.0, -1, -1, 144.0
90.0, 34.0, -1, 1, 144.0
88.0, 36.0, -1, 1, 144.0
86.0, 38.0, -1, 1, 144.0
84.0, 40.0, -1, 1, 144.0
82.0, 42.0, -1, 1, 144.0
80.0, 44.0, -1, 1, 144.0
78.0, 46.0, -1, 1, 144.0
76.0, 48.0, -1, 1, 144.0
74.0, 50.0, -1, 1, 144.0
72.0, 52.0, -1, 1, 144.0
70.0, 54.0, -1, 1, 144.0
68.0, 56.0, -1, 1, 144.0
66.0, 58.0, -1, 1, 144.0
64.0, 60.0, -1, 1, 144.0
62.0, 62.0, -1, 1, 144.0
60.0, 64.0, -1, 1, 144.0
58.0, 66.0, -1, 1, 144.0
56.0, 68.0, -1, 1, 144.0
54.0, 70.0, -1, 1, 144.0
52.0, 72.0, -1, 1, 144.0
50.0, 74.0, -1, 1, 144.0
48.0, 76.0, -1, 1, 144.0
46.0, 78.0, -1, 1, 144.0
44.0, 80.0, -1, 1, 144.0
42.0, 82.0, -1, 1, 144.0
40.0, 84.0, -1, 1, 144.0
38.0, 86.0, -1, 1, 144.0
36.0, 88.0, -1, 1, 144.0
34.0, 90.0, -1, 1, 144.0
32.0, 92.0, -1, 1, 144.0
34.0, 94.0, 1, 1, 144.0
36.0, 96.0, 1, 1, 144.0
38.0, 98.0, 1, 1, 144.0
40.0, 100.0, 1, 1, 144.0
42.0, 102.0, 1, 1, 144.0
44.0, 104.0, 1, 1, 144.0
46.0, 106.0, 1, 1, 144.0
48.0, 108.0, 1, 1, 144.0
50.0, 110.0, 1, 1, 144.0
52.0, 112.0, 1, 1, 144.0
54.0, 114.0, 1, 1, 144.0
56.0, 116.0, 1, 1, 144.0
58.0, 118.0, 1, 1, 144.0
60.0, 120.0, 1, 1, 144.0
62.0, 122.0, 1, 1, 144.0
64.0, 124.0, 1, 1, 144.0
66.0, 126.0, 1, 1, 144.0
68.0, 128.0, 1, 1, 144.0
70.0, 130.0, 1, 1, 144.0
72.0, 132.0, 1, 1, 144.0
74.0, 134.0, 1, 1, 144.0
76.0, 136.0, 1, 1, 144.0
78.0, 138.0, 1, 1, 144.0
80.0, 140.0, 1, 1, 144.0
82.0, 142.0, 1, 1, 144.0
84.0, 144.0, 1, 1, 144.0
86.0, 146.0, 1, 1, 144.0
88.0, 148.0, 1, 1, 144.0
90.0, 150.0, 1, 1, 144.0
92.0, 152.0, 1, 1, 144.0
94.0, 154.0, 1, 1, 144.0
96.0, 156.0, 1, 1, 144.0
98.0, 158.0, 1, 1, 144.0
100.0, 160.0, 1, 1, 144.0
102.0, 162.0, 1, 1, 144.0
104.0, 164.0, 1, 1, 144.0
106.0, 166.0, 1, 1, 144.0
108.0, 168.0, 1, 1, 144.0
110.0, 170.0, 1, 1, 144.0
112.0, 172.0, 1, 1, 144.0
114.0, 174.0, 1, 1, 144.0
116.0, 176.0, 1, 1, 144.0
118.0, 178.0, 1, 1, 144.0
120.0, 180.0, 1, 1, 144.0
122.0, 182.0, 1, 1, 144.0
124.0, 184.0, 1, 1, 144.0
126.0, 186.0, 1, 1, 144.0
128.0, 188.0, 1, 1, 144.0
130.0, 190.0, 1, 1, 144.0
132.0, 192.0, 1, 1, 144.0
134.0, 194.0, 1, 1, 144.0
136.0, 196.0, 1, 1, 144.0
138.0, 198.0, 1, 1, 144.0
140.0, 200.0, 1, 1, 144.0
142.0, 202.0, 1, 1, 144.0
144.0, 204.0, 1, 1, 144.0
146.0, 206.0, 1, 1, 144.0
148.0, 208.0, 1, 1, 144.0
150.0, 210.0, 1, 1, 144.0
152.0, 212.0, 1, 1, 144.0
154.0, 214.0, 1, 1, 144.0
156.0, 216.0, 1, 1, 144.0
158.0, 218.0, 1, 1, 144.0
160.0, 220.0, 1, 1, 144.0
162.0, 222.0, 1, 1, 144.0
164.0, 224.0, 1, 1, 144.0
166.0, 226.0, 1, 1, 144.0
168.0, 228.0, 1, 1, 144.0
170.0, 230.0, 1, 1, 144.0
172.0, 232.0, 1, 1, 144.0
174.0, 234.0, 1, 1, 144.0
176.0, 236.0, 1, 1, 144.0
178.0, 238.0, 1, 1, 144.0
180.0, 240.0, 1, 1, 144.0
182.0, 242.0, 1, 1, 144.0
184.0, 244.0, 1, 1, 144.0
186.0, 246.0, 1, 1, 144.0
188.0, 248.0, 1, 1, 144.0
190.0, 250.0, 1, 1, 144.0
192.0, 252.0, 1, 1, 144.0
194.0, 254.0, 1, 1, 144.0
196.0, 256.0, 1, 1, 144.0
198.0, 258.0, 1, 1, 144.0
200.0, 260.0, 1, 1, 144.0
202.0, 262.0, 1, 1, 144.0
204.0, 264.0, 1, 1, 144.0
206.0, 266.0, 1, 1, 144.0
208.0, 268.0, 1, 1, 144.0
210.0, 270.0, 1, 1, 144.0
212.0, 272.0, 1, 1, 144.0
